PA4,V4,,U3RX,I2C7SCL,T2CCP0,,,,,,,,,,,,SSI0XDAT0,,,,,,,
PT2,E18,,,,T7CCP0,,,,CAN1RX,,,,,,,,LCDDATA18,,,,,,,
PK4,U19,,,I2C3SCL,,,EN0LED0,M0PWM6,EN0INTRN,,,,,,,EN0RXD3,EPI0S32,,,,,,,
PP1,D7,C2-,U6TX,,,,T6CCP1,,,,,,,,,,SSI3XDAT3,,,,,,,
PF0,U6,,,,,,EN0LED0,M0PWM0,,,,,,,,SSI3XDAT1,TRD2,,,,,,,
PS1,D13,,,,T2CCP1,,,M0FAULT1,,,,,,,,,LCDDATA21,,,,,,,
PD1,C1,AIN14,,I2C7SDA,T0CCP1,,C1O,,,,,,,,,,SSI2XDAT0,,,,,,,
PL4,H18,,,,T0CCP0,,,,,,,,,,,USB0D4,EPI0S26,,,,,,,
PA3,U5,,U4TX,I2C8SDA,T1CCP1,,,,,,,,,,,,SSI0FSS,,,,,,,
PP0,D6,C2+,U6RX,,,,T6CCP0,,EN0INTRN,,,,,,,,SSI3XDAT2,,,,,,,
PK6,V16,,,I2C4SCL,,,EN0LED1,M0FAULT1,,,,,,,,EN0TXD2,EPI0S25,,,,,,,
PL0,G16,,,I2C2SDA,,,,M0FAULT3,,,,,,,,USB0D0,EPI0S16,,,,,,,
PR4,P3,,,I2C3SCL,T0CCP0,,,M0PWM4,,,,,,,,,LCDDATA00,,,,,,,
PG0,N15,,,I2C1SCL,,,EN0PPS,M0PWM4,,,,,,,,,EPI0S11,,,,,,,
PS5,T13,,,,T4CCP1,,,PHB0,,,,,,,,EN0TXD1,LCDDATA07,,,,,,,
PA6,V5,,U2RX,I2C6SCL,T3CCP0,,USB0EPEN,,,,,,,,SSI0XDAT2,EN0RXCK,EPI0S8,,,,,,,
PG7,U14,,,I2C4SDA,,,OWIRE,,,,,,,,,EN0RXDV,SSI2CLK,,,,,,,
PP6,B8,AIN23,U1DCD,I2C2SDA,,,,,,,,,,,,,,,,,,,,
PA1,W3,,U0TX,I2C9SDA,T0CCP1,,,,CAN0TX,,,,,,,,,,,,,,,
PE3,G2,AIN0,U1DTR,,,,OWIRE,,,,,,,,,,,,,,,,,
PK1,J2,AIN17,U4TX,,,,,,,,,,,,,,EPI0S1,,,,,,,
PP3,C12,,U1CTS,U0DCD,,,,,RTCCLK,,,,,,,USB0DIR,EPI0S30,,,,,,,
PS6,U10,,,,T5CCP0,,,IDX0,,,,,,,,EN0RXER,LCDDATA08,,,,,,,
PB2,A17,,,I2C0SCL,T5CCP0,,EN0MDC,,,,,,,,,USB0STP,EPI0S27,,,,,,,
PL6,C18,USB0DP,,,T1CCP0,,,,,,,,,,,,,,,,,,,
PH7,V2,,U5TX,U7TX,,,,,,,,,,,,,,,,,,,,
PN3,B10,,U1DSR,U2CTS,,,,,,,,,,,,,EPI0S30,,,,,,,
PJ4,F18,,U3RTS,,,,,,,,,,,,,,LCDDATA16,,,,,,,
PN4,A10,,U1DTR,U3RTS,I2C2SDA,,,,,,,,,,,,EPI0S34,,,,,,,
PG3,M16,,,I2C2SDA,,,,,,,,,,,,EN0TXEN,SSI2XDAT2,,,,,,,
PH5,T2,,U0RI,,,,EN0PPS,,,,,,,,,,,,,,,,,
PJ6,N1,,U4RTS,,,,,,,,,,,,,,LCDAC,,,,,,,
PQ1,E2,,,,T6CCP1,,,,,,,,,,,SSI3FSS,EPI0S21,,,,,,,
PN6,T12,,,U4RTS,,,,,,,,,,,,EN0TXER,LCDDATA13,,,,,,,
PE6,A7,AIN20,U0CTS,I2C9SCL,,,,,,,,,,,,,,,,,,,,
PQ7,M3,,U1RI,,,,,,,,,,,,,,,,,,,,,
PD7,B2,AIN4,U2CTS,,T4CCP1,,USB0PFLT,,,NMI,,,,,,,SSI2XDAT2,,,,,,,
PL7,B18,USB0DM,,,T1CCP1,,,,,,,,,,,,,,,,,,,
PF5,W7,,,,,,,,,,,,,,,SSI3XDAT3,,,,,,,,
PL3,J18,,,,,,C1O,IDX0,,,,,,,,USB0D3,EPI0S19,,,,,,,
PJ0,C8,,U3RX,,,,EN0PPS,,,,,,,,,,,,,,,,,
PM0,K18,,,,T2CCP0,,,,,,,,,,,,EPI0S15,,,,,,,
PP4,D8,,U3RTS,U0DSR,,OWIRE,,,,,,,,,,USB0D7,,,,,,,,
PD5,B4,AIN6,U2TX,,T3CCP1,,,,,,,,,,,,SSI1XDAT3,,,,,,,
PD0,C2,AIN15,,I2C7SCL,T0CCP0,,C0O,,,,,,,,,,SSI2XDAT1,,,,,,,
PG5,K15,,U0RTS,I2C3SDA,,,OWALT,,,,,,,,,EN0TXD1,SSI2XDAT0,,,,,,,
PM2,L18,,,,T3CCP0,,,,,,,,,,,,EPI0S13,,,,,,,
PB3,B17,,,I2C0SDA,T5CCP1,,EN0MDIO,,,,,,,,,USB0CLK,EPI0S28,,,,,,,
PD3,D1,AIN12,,I2C8SDA,T1CCP1,,,,,,,,,,,,SSI2CLK,,,,,,,
PS3,A14,,,,T3CCP1,,,M0FAULT3,,,,,,,,,LCDDATA23,,,,,,,
PE1,H2,AIN2,U1DSR,,,,,,,,,,,,,,,,,,,,,
PQ3,M4,,,,T7CCP1,,,,,,,,,,,SSI3XDAT1,EPI0S23,,,,,,,
PQ5,W12,,U1TX,,,,,,,,,,,,,EN0RXD0,,,,,,,,
PG1,T14,,,I2C1SDA,,,,M0PWM5,,,,,,,,,EPI0S10,,,,,,,
PC3,C14,,SWO,,,,,,,,,,,,,,,,,,,,,
PH1,R2,,U0CTS,,,,,,,,,,,,,,EPI0S1,,,,,,,
PF7,U8,,,,,,,,,,,,,,,,LCDDATA02,,,,,,,
PM6,N19,TMPR1,U0DSR,,T5CCP0,,,,,,,,,,,EN0CRS,,,,,,,,
PC0,B15,,SWCLK,,,,,,,,,,,,,,,,,,,,,
PB5,B6,AIN11,U0RTS,I2C5SDA,,,,,,,,,,,,,SSI1CLK,,,,,,,
PJ2,H17,,U2RTS,,,,,,,,,,,,,,LCDDATA14,,,,,,,
PF2,W6,,,,,,EN0MDC,M0PWM2,,,,,,,,SSI3FSS,TRD0,,,,,,,
PT3,F17,,,,T7CCP1,,,,CAN1TX,,,,,,,,LCDDATA19,,,,,,,
PN0,C10,,U1RTS,,,,,,,,,,,,,,,,,,,,,
PB0,A16,USB0ID,U1RX,I2C5SCL,T4CCP0,,,,CAN1RX,,,,,,,,,,,,,,,
PK5,V17,,,I2C3SDA,,,EN0LED2,M0PWM7,,,,,,,,EN0RXD2,EPI0S31,,,,,,,
PN2,A11,,U1DCD,U2RTS,,,,,,,,,,,,,EPI0S29,,,,,,,
PS4,V9,,,,T4CCP0,,,PHA0,,,,,,,,EN0TXD0,LCDDATA06,,,,,,,
PK3,K2,AIN19,U4CTS,,,,,,,,,,,,,,EPI0S3,,,,,,,
PM4,M18,TMPR3,U0CTS,,T4CCP0,,,,,,,,,,,EN0RREF_CLK,,,,,,,,
PC5,M1,C1+,U7TX,,T7CCP1,,,,RTCCLK,,,,,,,,EPI0S6,,,,,,,
PR7,R10,,,I2C4SDA,T1CCP1,,,M0PWM7,,,,,,,,EN0TXEN,LCDDATA05,,,,,,,
PB6,F2,,,I2C6SCL,T6CCP0,,,,,,,,,,,,,,,,,,,
PA7,R7,,U2TX,I2C6SDA,T3CCP1,,USB0PFLT,,,,,,USB0EPEN,,SSI0XDAT3,,EPI0S9,,,,,,,
PH3,T1,,U0DSR,,,,,,,,,,,,,,EPI0S3,,,,,,,
PP2,B13,,U0DTR,,,,,,,,,,,,,USB0NXT,EPI0S29,,,,,,,
PN7,U12,,U1RTS,U4CTS,,,,,,,,,,,,,LCDDATA12,,,,,,,
PG2,V11,,,I2C2SCL,,,,,,,,,,,,EN0TXCK,SSI2XDAT3,,,,,,,
PH6,U2,,U5RX,U7RX,,,,,,,,,,,,,,,,,,,,
PA0,V3,,U0RX,I2C9SCL,T0CCP0,,,,CAN0RX,,,,,,,,,,,,,,,
PB1,B16,USB0VBUS,U1TX,I2C5SDA,T4CCP1,,,,CAN1TX,,,,,,,,,,,,,,,
PG6,V12,,,I2C4SCL,,,OWIRE,,,,,,,,,EN0RXER,SSI2FSS,,,,,,,
PK0,J1,AIN16,U4RX,,,,,,,,,,,,,,EPI0S0,,,,,,,
PC4,M2,C1-,U7RX,,T7CCP0,,,,,,,,,,,,EPI0S7,,,,,,,
PD2,D2,AIN13,,I2C8SCL,T1CCP0,,C2O,,,,,,,,,,SSI2FSS,,,,,,,
PR5,P2,,U1RX,I2C3SDA,T0CCP1,,,M0PWM5,,,,,,,,,LCDDATA01,,,,,,,
PR1,N4,,U4RX,I2C1SDA,,,,M0PWM1,,,,,,,,,LCDFP,,,,,,,
PL1,H19,,,I2C2SCL,,,,PHA0,,,,,,,,USB0D1,EPI0S17,,,,,,,
PE4,A5,AIN9,U1RI,,,,,,,,,,,,,,SSI1XDAT0,,,,,,,
PP5,B12,,U3CTS,I2C2SCL,,OWALT,,,,,,,,,,USB0D6,,,,,,,,
PL5,G19,,,,T0CCP1,,,,,,,,,,,USB0D5,EPI0S33,,,,,,,
PN5,B9,,U1RI,U3CTS,I2C2SCL,,,,,,,,,,,,EPI0S35,,,,,,,
PM1,K19,,,,T2CCP1,,,,,,,,,,,,EPI0S14,,,,,,,
PS7,R13,,,,T5CCP1,,,,,,,,,,,EN0RXDV,LCDDATA09,,,,,,,
PE7,B7,AIN21,U0RTS,I2C9SDA,,,,,,NMI,,,,,,,,,,,,,,
PC2,D14,,TDI,,,,,,,,,,,,,,,,,,,,,
PS0,D12,,,,T2CCP0,,,M0FAULT0,,,,,,,,,LCDDATA20,,,,,,,
PT1,V10,,,,T6CCP1,,,,CAN0TX,,,,,,,EN0RXD1,LCDDATA11,,,,,,,
PR3,V8,,,I2C2SDA,,,,M0PWM3,,,,,,,,,LCDDATA03,,,,,,,
PF6,T8,,,,,,,,,,,,,,,,LCDMCLK,,,,,,,
PK7,W16,,U0RI,I2C4SDA,,,RTCCLK,M0FAULT2,,,,,,,,EN0TXD3,EPI0S24,,,,,,,
PC7,K3,C0-,U5TX,,,,,,,,,,,,,,EPI0S4,,,,,,,
PJ1,E7,,U3TX,,,,,,,,,,,,,,,,,,,,,
PC1,C15,,SWDIO,,,,,,,,,,,,,,,,,,,,,
PL2,G18,,,,,,C0O,PHB0,,,,,,,,USB0D2,EPI0S18,,,,,,,
PM3,L19,,,,T3CCP1,,,,,,,,,,,,EPI0S12,,,,,,,
PR6,W9,,U1TX,I2C4SCL,T1CCP0,,,M0PWM6,,,,,,,,,LCDDATA04,,,,,,,
PJ5,E17,,U3CTS,,,,,,,,,,,,,,LCDDATA17,,,,,,,
PE5,B5,AIN8,,,,,,,,,,,,,,,SSI1XDAT1,,,,,,,
PQ0,E3,,,,T6CCP0,,,,,,,,,,,SSI3CLK,EPI0S20,,,,,,,
PH0,P4,,U0RTS,,,,,,,,,,,,,,EPI0S0,,,,,,,
PJ3,F16,,U2CTS,,,,,,,,,,,,,,LCDDATA15,,,,,,,
PE2,G1,AIN1,U1DCD,,,,,,,,,,,,,,,,,,,,,
PP7,A8,AIN22,,,,,OWIRE,,,,,,,,,,,,,,,,,
PQ2,H4,,,,T7CCP0,,,,,,,,,,,SSI3XDAT0,EPI0S22,,,,,,,
PQ6,U15,,U1DTR,,,,,,,,,,,,,EN0RXD1,,,,,,,,
PC6,L2,C0+,U5RX,,,,,,,,,,,,,,EPI0S5,,,,,,,
PE0,H3,AIN3,U1RTS,,,,,,,,,,,,,,,,,,,,,
PB7,F1,,,I2C6SDA,T6CCP1,,,,,,,,,,,,,,,,,,,
PR0,N5,,U4TX,I2C1SCL,,,,M0PWM0,,,,,,,,,LCDCP,,,,,,,
PQ4,A13,,U1RX,,,,,,DIVSCLK,,,,,,,,,,,,,,,
PH4,R3,,U0DTR,,,,,,,,,,,,,,,,,,,,,
PJ7,K5,,U4CTS,,,,,,,,,,,,,,,,,,,,,
PR2,N2,,,I2C2SCL,,,,M0PWM2,,,,,,,,,LCDLP,,,,,,,
PK2,K1,AIN18,U4RTS,,,,,,,,,,,,,,EPI0S2,,,,,,,
PG4,K17,,U0CTS,I2C3SCL,,,OWIRE,,,,,,,,,EN0TXD0,SSI2XDAT1,,,,,,,
PT0,W10,,,,T6CCP0,,,,CAN0RX,,,,,,,EN0RXD0,LCDDATA10,,,,,,,
PF3,T7,,,,,,EN0MDIO,M0PWM3,,,,,,,,SSI3CLK,TRCLK,,,,,,,
PM7,N18,TMPR0,U0RI,,T5CCP1,,,,,,,,,,,EN0COL,,,,,,,,
PF4,V7,,,,,,EN0LED1,M0FAULT0,,,,,,,,SSI3XDAT2,TRD3,,,,,,,
PF1,V6,,,,,,EN0LED2,M0PWM1,,,,,,,,SSI3XDAT0,TRD1,,,,,,,
PA2,T6,,U4RX,I2C8SCL,T1CCP0,,,,,,,,,,,,SSI0CLK,,,,,,,
PH2,R1,,U0DCD,,,,,,,,,,,,,,EPI0S2,,,,,,,
PM5,G15,TMPR2,U0DCD,,T4CCP1,,,,,,,,,,,,,,,,,,,
PB4,C6,AIN10,U0CTS,I2C5SCL,,,,,,,,,,,,,SSI1FSS,,,,,,,
PD4,A4,AIN7,U2RX,,T3CCP0,,,,,,,,,,,,SSI1XDAT2,,,,,,,
PA5,W4,,U3TX,I2C7SDA,T2CCP1,,,,,,,,,,,,SSI0XDAT1,,,,,,,
PD6,B3,AIN5,U2RTS,,T4CCP0,,USB0EPEN,,,,,,,,,,SSI2XDAT3,,,,,,,
PN1,B11,,U1CTS,,,,,,,,,,,,,,,,,,,,,
PS2,B14,,U1DSR,,T3CCP0,,,M0FAULT2,,,,,,,,,LCDDATA22,,,,,,,
